,coef,imp
cdr3:27V,-0.04493352833678317,0.016565272608006432
cdr3:28V,-0.044932251167641574,0.007037796805491295
cdr3:66R,-0.04485832999703532,0.015021690653746388
cdr3:65R,-0.04485832999703532,0.0033261146604627754
cdr3:64R,-0.04484186480594382,0.007342244602911311
cdr3:30V,-0.04483658932649382,0.0017052619545225387
cdr3:29V,-0.04483658932649382,0.001531241535627797
cdr3:31V,-0.044761250341499206,0.0020059531863461807
cdr3:32V,-0.044508234166584504,0.00593592985417472
cdr3:63R,-0.04446461193743581,0.009158936996586833
cdr3:62R,-0.044211189633709444,0.008810384293608961
cdr3:73charge,-0.044042355484810045,0.007003190981529706
cdr3:74charge,-0.04400224499288471,0.005141895592145888
cdr3:56R,-0.04298517389724962,0.008039589966447068
cdr3:61R,-0.04294446448054507,0.012049816976473986
cdr3:60R,-0.04288320439620853,0.006411434231781203
cdr3:54R,-0.042845558590002976,0.0069453568611030185
cdr3:57R,-0.04284172858742424,0.0109482830752934
cdr3:53R,-0.04283370075650193,0.0028601360596940927
cdr3:39P,-0.04281596984398619,0.0031888439144857604
cdr3:38P,-0.042813567691918554,0.0031986455966739893
cdr3:55R,-0.042780162668864544,0.0026263700528901686
cdr3:59R,-0.04275863201717911,0.009605581810122605
cdr3:58R,-0.04262564291225718,0.009076174766233212
cdr3:79charge,-0.04258967995655302,0.009878325847849829
cdr3:79K,-0.042448717858411,0.007940011916721203
cdr3:13W,-0.04241786293848603,0.017460553788760432
cdr3:13aromatic,-0.04241786293848603,0.011689652345103623
cdr3:19W,-0.04221920414978102,0.016884376225860757
cdr3:16W,-0.04221920414978102,0.0032970640560604763
cdr3:14W,-0.04221920414978102,0.0045356483531045185
cdr3:15W,-0.04221920414978102,0.013871463882029368
cdr3:17W,-0.04221920414978102,0.009816225980228218
cdr3:14aromatic,-0.04221920414978102,0.0040640620513136706
cdr3:16aromatic,-0.04221920414978102,0.004234200586831152
cdr3:15aromatic,-0.04221920414978102,0.009476904193120134
cdr3:18aromatic,-0.04221920414978102,0.0033120417084859487
cdr3:18W,-0.04221920414978102,0.01984319236447695
cdr3:19aromatic,-0.04221920414978102,0.007981058783145832
cdr3:17aromatic,-0.04221920414978102,0.0012112413450829633
cdr3:18weight,-0.04188821961756197,0.005477926687501878
cdr3:15weight,-0.04181370702470412,0.027747792237613585
cdr3:16weight,-0.041810831693897786,0.020506673256947282
cdr3:14weight,-0.041794477539195164,0.004695954759715002
cdr3:17weight,-0.04177489946971725,0.0037057794365027864
cdr3:74K,-0.04165294095883242,0.008803859535028841
cdr3:73K,-0.04165294095883242,0.0027965953503134816
cdr3:19weight,-0.041647495068071264,0.01964867592561951
cdr3:13weight,-0.04143000603207759,0.011330503253475527
cdr3:56charge,-0.041390982998378886,0.004697245934911624
cdr3:54charge,-0.04122686737495682,0.016014191243564298
cdr3:53charge,-0.041158911170721665,0.009056600015713867
cdr3:55charge,-0.04114008854388536,0.004129791129217899
cdr3:75charge,-0.0405601191668978,0.0018896146801266882
cdr3:57charge,-0.040393298669444626,0.009775820744134543
cdr3:78K,-0.040359980785721714,0.004577863497741826
cdr3:77K,-0.040359980785721714,0.0037079756005747332
cdr3:75K,-0.040326211810593336,0.0012545062212612936
cdr3:37P,-0.04030584795186724,0.003281323852838863
cdr3:36P,-0.04029782393861975,0.005173678556179973
cdr3:76K,-0.04029231016141651,0.00032500736605218524
cdr3:76charge,-0.04026807342406222,0.0008486740703392654
cdr3:35P,-0.04013894659618956,0.0010501660817304986
cdr3:33P,-0.040098076318110056,0.00020039726061443208
cdr3:34P,-0.040098076318110056,0.0010761671807728846
cdr3:58charge,-0.04000240271124328,0.009980452868586476
cdr3:59charge,-0.03997803210469869,0.016226119105160145
cdr3:61charge,-0.03971066540638421,0.00242502391042888
cdr3:60charge,-0.03965586006709385,0.0062315448146816246
cdr3:63charge,-0.039628600546345295,0.009451003456808452
cdr3:62charge,-0.039497388928168904,0.0012275420793577297
cdr3:78charge,-0.03876577388908939,0.00257603256697209
cdr3:77charge,-0.03869491449083385,0.0010917563199684991
cdr3:65charge,-0.03835905066610122,0.0003815797738312294
cdr3:66charge,-0.03835905066610122,0.0048037465049701
cdr3:64charge,-0.03829894326186817,0.013922174834655162
cdr3:46L,-0.03778352557264659,0.0015787805295798877
cdr3:45L,-0.03778136887482062,0.0005411740249734925
cdr3:53weight,-0.037713249613966465,0.004288455306059913
cdr3:44L,-0.03765312132279195,0.001145569877860707
cdr3:68E,-0.03758716340606693,0.000258945717767672
cdr3:67E,-0.03758716340606693,0.0007896389916550741
cdr3:86L,-0.03747788653021271,2.9073179277083468e-05
cdr3:56weight,-0.03679351584447664,0.0020379711736466274
cdr3:28hydrophobicity,-0.03642289863935244,0.005129276347964003
cdr3:27hydrophobicity,-0.036418181271229616,0.004493397833857644
cdr3:57weight,-0.036083665651676256,0.000383084968330663
cdr3:80L,-0.03586168275323954,0.0005538620169345978
cdr3:40L,-0.035526655335440104,0.0004989664460153987
cdr3:41L,-0.03550954669161586,0.00018549526106568842
cdr3:85L,-0.035190613413952646,0.00032128652533368486
cdr3:54weight,-0.035108326518487026,0.00045233147856857804
cdr3:55weight,-0.03502948063265642,0.0015728807017164215
cdr3:80hydrophobicity,-0.03488881824867847,0.00014590073235908415
cdr3:29hydrophobicity,-0.03451302518802665,0.0005021369825178095
cdr3:30hydrophobicity,-0.034471541798849016,0.0006145864163670425
cdr3:59weight,-0.03430675909536834,8.58266710213418e-05
cdr3:58weight,-0.03415845630139745,2.2237963444873083e-05
cdr3:43L,-0.034030524004974964,0.003228574502780212
cdr3:42L,-0.03393448992793953,0.00015020526251117736
cdr3:31hydrophobicity,-0.033430741304759516,9.78814742159078e-05
cdr3:32hydrophobicity,-0.033299832174304426,0.000243311391306387
cdr3:81L,-0.03246016877294348,0.00014731554993440977
cdr3:83L,-0.03243738851432509,6.518662734949438e-05
cdr3:84L,-0.03243258368344565,5.9980874235239734e-05
cdr3:65weight,-0.03241736698007586,6.943932623311882e-05
cdr3:66weight,-0.03241736698007586,6.4709541875130965e-06
cdr3:82L,-0.032406321167658715,0.00034775847882214566
cdr3:64weight,-0.03220749657084396,3.122712450513498e-05
cdr3:81hydrophobicity,-0.03145123963097308,0.00017377656134825363
cdr3:82hydrophobicity,-0.031301045390605804,0.00025727154407375897
cdr3:60weight,-0.031287457641883704,0.0004766660214792366
cdr3:61weight,-0.031258330412038265,0.0005444942117979342
cdr3:63weight,-0.03073870516778998,0.0
cdr3:62weight,-0.030659349719200396,1.114766333741963e-05
cdr3:46hydrophobicity,-0.03052474581583367,7.305379873383564e-05
cdr3:41hydrophobicity,-0.029818685302243346,9.279869616181788e-05
cdr3:40hydrophobicity,-0.02978285646137743,3.7610451593147914e-05
cdr3:44hydrophobicity,-0.029725016805005288,7.889018108002646e-05
cdr3:45hydrophobicity,-0.029646757959365964,0.00014414695590757654
cdr3:83hydrophobicity,-0.02900660685989971,0.00024203163646294455
cdr3:84hydrophobicity,-0.028790274862282902,8.057442573080371e-05
cdr3:72E,-0.028676118127421907,5.9410350937979504e-05
cdr3:71E,-0.028641934333247177,6.212581425597218e-06
cdr3:86hydrophobicity,-0.02768701431833648,2.286095112376481e-05
cdr3:42hydrophobicity,-0.027608350794962478,7.867974556724711e-05
cdr3:43hydrophobicity,-0.027466391159385258,0.0002271674474816082
cdr3:70E,-0.0272621979107903,3.708351333895629e-06
cdr3:69E,-0.027261886879916992,9.412339463788808e-05
cdr3:85hydrophobicity,-0.02661274478188024,9.26129348953734e-05
cdr3:50G,-0.02648389331113737,1.686423837122395e-05
cdr3:52G,-0.0264838933111373,2.3672313666516778e-05
cdr3:51G,-0.0264838933111373,3.367994596885709e-05
cdr3:87F,-0.022500841166790488,6.003089115744169e-05
cdr3:47G,-0.022448874420190237,0.0
